street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
EMPRESS PLACE,5,1,1,14,14,59,missing,0,319821,BUCKINGHAM STREET UPPER,PORTLAND ROW,Plás na Bainimpre
EMPRESS PLACE,5,1,2,14,14,94,missing,0,319821,BUCKINGHAM STREET UPPER,PORTLAND ROW,Plás na Bainimpre
ENAVILLE AVENUE,6,1,3,13,13,74,missing,0,319817,ANNESLEY AVENUE,ANNESLEY PLACE,Ascaill éanna
ENAVILLE ROAD,6,1,3,13,13,57,missing,0,319817,ENAVILLE AVENUE,TAAFFE'S PLACE,Bóthar éanna
ENGINE ALLEY,5,4,1,6,6,73,missing,0,326314,MEATH STREET,SWIFT'S ALLEY,Scabhat an Innill
ENNAFORT AVENUE,6,3,2,10,10,97,missing,0,313321,ENNAFORT PARK,ENNAFORT ROAD,Ascaill Dhún éanna
ENNAFORT COURT,6,3,2,10,10,61,missing,0,319901,ENNAFORT PARK,missing,Cúirt Dhún éanna
ENNAFORT DRIVE,6,3,2,10,10,89,missing,0,319901,ENNAFORT ROAD,ENNAFORT PARK,Céide Dún éanna
ENNAFORT GROVE,6,3,2,10,10,90,missing,0,313321,ENNAFORT ROAD,ENNAFORT PARK,Garrán Dún éanna
ENNAFORT PARK,6,3,2,10,10,812,missing,0,319901,HOWTH ROAD,ENNAFORT ROAD,Páirc Dún éanna
ENNAFORT ROAD,6,3,2,10,10,1144,missing,0,313321,HOWTH ROAD,missing,Bóthar Dún éanna
ENNEL AVENUE,6,3,2,10,10,181,missing,0,313316,ENNEL DRIVE,MOATFIELD ROAD,Aseal Ainninn
ENNEL DRIVE,6,3,2,10,10,358,missing,0,313316,MCCAULEY ROAD,ENNEL PARK,Céide Ainninn
ENNEL PARK,6,3,2,10,10,159,missing,0,313316,ENNEL AVENUE,missing,Páirc Ainninn
ENNIS GROVE,6,5,2,16,29,74,missing,0,326413,LONDONBRIDGE ROAD,missing,missing
ENNISKERRY ROAD,6,1,3,4,4,93,missing,0,319719,PHIBSBOROUGH ROAD,missing,Bóthar Eanach Seairbhe
ERNE PLACE,6,5,3,20,12,55,missing,0,326407,BOYNE STREET,BRUNSWICH PLACE,Plás éirne
ERNE PLACE LITTLE,5,5,3,20,12,56,missing,0,326407,ERNE STREET UPPER,missing,missing
ERNE PLACE LOWER,7,5,3,19,11,46,missing,0,326407,ERNE STREET LOWER,missing,missing
ERNE PLACE LOWER,7,5,2,19,11,39,missing,0,326407,ERNE STREET LOWER,missing,missing
ERNE STREET LOWER,4,5,1,19,11,175,missing,0,326407,HANOVER STREET EAST,PEARSE STREET,missing
ERNE STREET UPPER,4,5,1,20,12,218,missing,0,326407,PEARSE STREET,FENIAN STREET,missing
ERNE TERRACE FRONT,6,5,2,20,12,105,missing,0,326407,SANDWITH STREET UPPER,ERNE STREET UPPER,missing
ERNE TERRACE REAR,6,5,2,20,12,100,missing,0,326407,SANDWITH STREET UPPER,ERNE STREET UPPER,missing
ERRIGAL GARDENS,5,4,2,8,16,253,missing,0,332705,ERRIGAL ROAD,COOLEY ROAD,Gairdíní Eargail
ERRIGAL ROAD,6,4,2,8,16,366,missing,0,326225,DRIMNAGH ROAD,MOURNE ROAD,Bóthar Eargail
ERRIGAL ROAD,3,4,2,8,16,590,missing,0,326225,DRIMNAGH ROAD,MOURNE ROAD,Bóthar Eargail
ERRIS ROAD,6,1,2,12,20,184,missing,0,319718,ANNALY ROAD,LEIX ROAD,Bóthar Iorrais
ESMOND AVENUE,6,3,2,15,17,118,missing,0,319817,FAIRVIEW STRAND,missing,Ascaill éasman
ESPOSITO ROAD,6,4,2,10,18,157,missing,0,332710,JOHN MCCORMACK ROAD,missing,Bóthar Esposito
ESSEX GATE,5,5,3,9,1,29,missing,0,326310,EXHANGE STREET LOWER,PARLIAMENT STREET,Geata íosóide
